Período do ingresso,Turno,Turma,Id. GRACE,Situação,Tipo ingresso,Sexo
2005/1,Noturno,104,48,Término,Vestibular,Masculino
2005/1,Noturno,104,49,Término,Vestibular,Masculino
2005/1,Noturno,104,50,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2005/1,Noturno,104,51,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2005/1,Noturno,104,52,Término,Vestibular,Masculino
2005/1,Noturno,104,53,Término,Vestibular,Masculino
2005/1,Noturno,104,54,Término,Vestibular,Masculino
2005/1,Noturno,104,55,Término,Vestibular,Masculino
2005/1,Noturno,104,56,Ingressante sem Frequência,Vestibular,Masculino
2005/1,Noturno,104,57,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2005/1,Noturno,104,58,Término,Vestibular,Masculino
2005/1,Noturno,104,59,Término,Vestibular,Masculino
2005/1,Noturno,104,60,Término,Vestibular,Masculino
2005/1,Noturno,104,61,Término,Vestibular,Masculino
2005/1,Noturno,104,62,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2005/1,Noturno,104,63,Término,Vestibular,Masculino
2005/1,Noturno,104,64,Término,Vestibular,Masculino
2005/1,Noturno,104,65,Término,Vestibular,Masculino
2005/1,Noturno,104,66,Cancelamento trancamento 4 semestres,Vestibular 2 Lista,Masculino
2005/1,Noturno,104,67,Término,Vestibular,Masculino
2005/1,Noturno,104,68,Cancelamento menos 20% dos créditos,Vestibular 4 Lista,Masculino
2005/1,Noturno,104,69,Término,Vestibular,Masculino
2005/1,Noturno,104,70,Término,Vestibular,Masculino
2005/1,Noturno,104,71,Desistência a pedido,Vestibular,Masculino
2005/1,Noturno,104,72,Término,Vestibular,Feminino
2005/1,Noturno,104,73,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2005/1,Noturno,104,74,Término,Vestibular 4 Lista,Masculino
2005/1,Noturno,104,75,Término,Vestibular,Masculino
2005/1,Noturno,104,76,Término,Vestibular,Masculino
2005/1,Noturno,104,77,Término,Vestibular,Masculino
2005/1,Noturno,104,78,Término,Vestibular,Masculino
2005/1,Noturno,104,79,Término,Vestibular,Masculino
2005/1,Noturno,104,80,Cancelamento menos 20% dos créditos,Vestibular 2 Lista,Feminino
2005/1,Noturno,104,81,Término,Vestibular,Masculino
2005/1,Noturno,104,82,Cancelamento ultrapassou prazo máximo,Vestibular 4 Lista,Masculino
2005/1,Noturno,104,83,Término,Vestibular,Masculino
2005/1,Noturno,104,84,Término,Vestibular,Masculino
2005/1,Noturno,104,85,Término,Vestibular,Masculino
2005/1,Noturno,104,86,Desistência a pedido,Vestibular,Masculino
2005/1,Noturno,104,87,Término,Vestibular,Masculino
2005/1,Noturno,104,88,Término,Vestibular,Masculino
2005/1,Noturno,104,89,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2005/1,Noturno,104,90,Término,Vestibular,Masculino
2005/1,Noturno,104,91,Cancelamento 0 crédito,Vestibular,Masculino
2005/1,Noturno,104,92,Ingressante sem Frequência,Vestibular,Feminino
2005/1,Noturno,104,93,Ingressante sem Frequência,Vestibular,Masculino
2005/1,Noturno,104,94,Término,Vestibular,Masculino
2005/1,Noturno,104,95,Término,Vestibular,Masculino
2005/1,Noturno,104,96,Término,Vestibular,Masculino
2005/1,Noturno,104,97,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2005/1,Noturno,104,98,Outros,Vestibular,Masculino
2005/1,Noturno,104,99,Cancelamento ultrapassou prazo máximo,Vestibular,Feminino
2005/1,Noturno,104,100,Término,Vestibular 4 Lista,Masculino
2005/1,Noturno,104,101,Desistência a pedido,Vestibular,Feminino
2005/1,Noturno,104,102,Cancelamento menos 20% dos créditos,Vestibular 2 Lista,Masculino
2005/1,Noturno,104,103,Término,Vestibular,Masculino
2005/1,Noturno,104,104,Término,Vestibular,Masculino
2005/1,Noturno,104,105,Cancelamento trancamento 4 semestres,Vestibular,?
2005/1,Noturno,104,106,Término,Vestibular 3 Lista,Masculino
2005/1,Noturno,104,107,Cancelamento menos 20% dos créditos,Vestibular,Feminino
2005/1,Noturno,104,108,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2005/1,Noturno,104,109,Término,Vestibular,Masculino
2005/1,Noturno,104,110,Término,Vestibular,Masculino
2005/1,Noturno,104,111,Término,Vestibular,Masculino
2005/1,Noturno,104,112,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2005/1,Noturno,104,113,Outros,Vestibular,Masculino
2005/1,Noturno,104,114,Término,Vestibular,Masculino
2005/1,Noturno,104,115,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2005/1,Noturno,104,116,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2005/1,Noturno,104,117,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2005/1,Noturno,104,118,Término,Vestibular,Masculino
2005/1,Noturno,104,119,Término,Vestibular,Masculino
2005/1,Noturno,104,120,Término,Vestibular,Masculino
2005/1,Noturno,104,121,Término,Vestibular,Masculino
2005/1,Noturno,104,122,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2005/1,Noturno,104,123,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2005/1,Noturno,104,124,Término,Vestibular,Masculino
2005/1,Noturno,104,125,Término,Vestibular,Masculino
2005/1,Noturno,104,126,Abandono 3 semestres sem matrícula,Vestibular 2 Lista,Masculino
2005/1,Noturno,104,127,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2005/1,Noturno,104,128,Término,Vestibular,Feminino
2005/1,Noturno,104,129,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2005/1,Noturno,104,130,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2005/1,Noturno,104,131,Desistência a pedido,Vestibular,Masculino
2005/1,Noturno,104,132,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2005/1,Noturno,104,133,Término,Vestibular,Masculino
2005/1,Noturno,104,134,Término,Vestibular,Masculino
2005/1,Noturno,104,135,Término,Vestibular,Masculino
2005/1,Noturno,104,136,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2005/1,Noturno,104,137,Término,Vestibular,Masculino
2005/1,Noturno,104,138,Término,Vestibular,Masculino
2005/1,Noturno,104,139,Término,Vestibular,Masculino
2005/1,Noturno,104,140,Término,Vestibular,Masculino
2005/1,Noturno,104,141,Término,Vestibular,Masculino
2005/1,Noturno,104,142,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2005/1,Noturno,104,143,Término,Vestibular,Masculino
2005/1,Noturno,104,144,Término,Vestibular,Masculino
2005/1,Noturno,104,145,Término,Vestibular,Masculino
2005/1,Noturno,104,146,Término,Vestibular,Masculino
2005/1,Noturno,104,147,Término,Vestibular,Masculino
2005/1,Noturno,104,148,Término,Vestibular,Masculino
2005/1,Noturno,104,149,Término,Vestibular,Masculino
2005/1,Noturno,104,150,Término,Vestibular,Masculino
2005/1,Noturno,104,151,Término,Vestibular 2 Lista,Masculino
2005/1,Noturno,104,152,Término,Vestibular,Masculino
2005/1,Noturno,104,153,Abandono 3 semestres sem matrícula,Vestibular 2 Lista,Masculino
2005/1,Noturno,104,154,Término,Vestibular,Masculino
2005/1,Noturno,104,155,Outros,Vestibular,Masculino
2005/1,Noturno,104,156,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2005/1,Noturno,104,157,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2005/1,Noturno,104,158,Término,Vestibular,Feminino
2005/1,Noturno,104,159,Término,Vestibular,Masculino
2005/1,Noturno,104,160,Cancelamento 0 crédito,Vestibular 2 Lista,Masculino
2005/1,Noturno,104,161,Término,Vestibular 2 Lista,Feminino
2005/1,Noturno,104,162,Término,Vestibular,Masculino
2005/1,Noturno,104,163,Término,Vestibular,Masculino
2005/1,Noturno,104,164,Transferência USP,Vestibular,Masculino
2005/1,Noturno,104,165,Término,Vestibular,Feminino
2005/1,Noturno,104,166,Término,Vestibular,Masculino
2005/1,Noturno,104,167,Término,Vestibular,Masculino
2005/1,Noturno,104,168,Término,Vestibular,Masculino
2005/1,Noturno,104,169,Ingressante sem Frequência,Vestibular,Masculino
2005/1,Noturno,104,170,Término,Vestibular,Masculino
2006/1,Diurno,102,171,Término,Vestibular,Masculino
2006/1,Diurno,102,172,Encerramento novo ingresso,Vestibular,Masculino
2006/1,Diurno,102,173,Término,Vestibular,Feminino
2006/1,Diurno,102,174,Cancelamento 0 crédito,Vestibular,Masculino
2006/1,Diurno,102,175,Transferência USP,Vestibular 4 Lista,Feminino
2006/1,Diurno,102,176,Término,Vestibular,Masculino
2006/1,Diurno,102,177,Término,Vestibular,Masculino
2006/1,Diurno,102,178,Término,Vestibular 2 Lista,Masculino
2006/1,Diurno,102,179,Término,Vestibular,Masculino
2006/1,Diurno,102,180,Término,Vestibular,Masculino
2006/1,Diurno,102,181,Cancelamento menos 20% dos créditos,Vestibular 2 Lista,Masculino
2006/1,Diurno,102,182,Cancelamento trancamento 4 semestres,Vestibular,Feminino
2006/1,Diurno,102,183,Término,Vestibular,Feminino
2006/1,Diurno,102,184,Encerramento novo ingresso,Vestibular,Masculino
2006/1,Diurno,102,185,Término,Vestibular,Masculino
2006/1,Diurno,102,186,Término,Vestibular,Masculino
2006/1,Diurno,102,187,Término,Vestibular,Masculino
2006/1,Diurno,102,188,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2006/1,Diurno,102,189,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2006/1,Diurno,102,190,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2006/1,Diurno,102,191,Término,Vestibular,Masculino
2006/1,Diurno,102,192,Término,Vestibular,Feminino
2006/1,Diurno,102,193,Término,Vestibular,Feminino
2006/1,Diurno,102,194,Abandono 3 semestres sem matrícula,Vestibular 4 Lista,Feminino
2006/1,Diurno,102,195,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2006/1,Diurno,102,196,Término,Vestibular,Masculino
2006/1,Diurno,102,197,Término,Vestibular 2 Lista,Feminino
2006/1,Diurno,102,198,Desistência a pedido,Vestibular,Feminino
2006/1,Diurno,102,199,Término,Vestibular,Feminino
2006/1,Diurno,102,200,Desistência a pedido,Vestibular,Masculino
2006/1,Diurno,102,201,Término,Vestibular,Masculino
2006/1,Diurno,102,202,Término,Vestibular,Masculino
2006/1,Diurno,102,203,Cancelamento 0 crédito,Vestibular,Masculino
2006/1,Diurno,102,204,Término,Vestibular,Masculino
2006/1,Diurno,102,205,Ingressante sem Frequência,Vestibular,Masculino
2006/1,Diurno,102,206,Término,Vestibular,Masculino
2006/1,Diurno,102,207,Cancelamento trancamento 4 semestres,Vestibular 2 Lista,Masculino
2006/1,Diurno,102,208,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2006/1,Diurno,102,209,Cancelamento 0 crédito,Vestibular,Masculino
2006/1,Diurno,102,210,Encerramento novo ingresso,Vestibular,Feminino
2006/1,Diurno,102,211,Término,Vestibular,Masculino
2006/1,Diurno,102,212,Término,Vestibular,Masculino
2006/1,Diurno,102,213,Transferência USP,Vestibular,Masculino
2006/1,Diurno,102,214,Término,Vestibular,Masculino
2006/1,Noturno,104,215,Término,Vestibular,Masculino
2006/1,Noturno,104,216,Término,Vestibular,Masculino
2006/1,Noturno,104,217,Cancelamento 0 crédito,Vestibular,Masculino
2006/1,Noturno,104,218,Término,Vestibular,Masculino
2006/1,Noturno,104,219,Término,Vestibular 5 Lista,Masculino
2006/1,Noturno,104,220,Término,Vestibular,Masculino
2006/1,Noturno,104,221,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2006/1,Noturno,104,222,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2006/1,Noturno,104,223,Término,Vestibular,Masculino
2006/1,Noturno,104,224,Término,Vestibular,Masculino
2006/1,Noturno,104,225,Cancelamento 0 crédito,Vestibular 4 Lista,Masculino
2006/1,Noturno,104,226,Término,Vestibular,Feminino
2006/1,Noturno,104,227,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2006/1,Noturno,104,228,Ingressante sem Frequência,Vestibular,Masculino
2006/1,Noturno,104,229,Término,Vestibular,Masculino
2006/1,Noturno,104,230,Término,Vestibular,Masculino
2006/1,Noturno,104,231,Desistência a pedido,Vestibular,Feminino
2006/1,Noturno,104,232,Término,Vestibular,Masculino
2006/1,Noturno,104,233,Término,Vestibular,Masculino
2006/1,Noturno,104,234,Término,Vestibular,Masculino
2006/1,Noturno,104,235,Término,Vestibular 2 Lista,Masculino
2006/1,Noturno,104,236,Término,Vestibular,Masculino
2006/1,Noturno,104,237,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2006/1,Noturno,104,238,Término,Vestibular,Masculino
2006/1,Noturno,104,239,Transferência USP,Vestibular,Masculino
2006/1,Noturno,104,240,Término,Vestibular 2 Lista,Masculino
2006/1,Noturno,104,241,Término,Vestibular,Masculino
2006/1,Noturno,104,242,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2006/1,Noturno,104,243,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2006/1,Noturno,104,244,Encerramento novo ingresso,Vestibular,Masculino
2006/1,Noturno,104,245,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2006/1,Noturno,104,246,Término,Vestibular,Masculino
2006/1,Noturno,104,247,Término,Vestibular,Feminino
2006/1,Noturno,104,248,Cancelamento menos 20% dos créditos,Vestibular 4 Lista,Masculino
2006/1,Noturno,104,249,Término,Vestibular,Masculino
2006/1,Noturno,104,250,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2006/1,Noturno,104,251,Término,Vestibular,Masculino
2006/1,Noturno,104,252,Término,Vestibular,Masculino
2006/1,Noturno,104,253,Cancelamento 0 crédito,Vestibular,Masculino
2006/1,Noturno,104,254,Término,Vestibular,Masculino
2006/1,Noturno,104,255,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2006/1,Noturno,104,256,Término,Vestibular 2 Lista,Masculino
2006/1,Noturno,104,257,Ingressante sem Frequência,Vestibular,Masculino
2006/1,Noturno,104,258,Término,Vestibular,Masculino
2006/1,Noturno,104,259,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2006/1,Noturno,104,260,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2006/1,Noturno,104,261,Encerramento novo ingresso,Vestibular,Masculino
2006/1,Noturno,104,262,Término,Vestibular,Masculino
2006/1,Noturno,104,263,Término,Vestibular 2 Lista,Masculino
2006/1,Noturno,104,264,Término,Vestibular 2 Lista,Masculino
2006/1,Noturno,104,265,Término,Vestibular,Masculino
2006/1,Noturno,104,266,Término,Vestibular,Masculino
2006/1,Noturno,104,267,Término,Vestibular,Masculino
2006/1,Noturno,104,268,Término,Vestibular,Masculino
2006/1,Noturno,104,269,Término,Vestibular,Masculino
2006/1,Noturno,104,270,Término,Vestibular,Masculino
2006/1,Noturno,104,271,Término,Vestibular,Masculino
2006/1,Noturno,104,272,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2006/1,Noturno,104,273,Desistência a pedido,Vestibular,Masculino
2006/1,Noturno,104,274,Término,Vestibular,Masculino
2006/1,Noturno,104,275,Término,Vestibular,Masculino
2006/1,Noturno,104,276,Término,Vestibular,Masculino
2006/1,Noturno,104,277,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2006/1,Noturno,104,278,Término,Vestibular,Masculino
2006/1,Noturno,104,279,Término,Vestibular,Masculino
2006/1,Noturno,104,280,Término,Vestibular,Masculino
2006/1,Noturno,104,281,Término,Vestibular,Masculino
2006/1,Noturno,104,282,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2006/1,Noturno,104,283,Término,Vestibular,Masculino
2006/1,Noturno,104,284,Término,Vestibular,Masculino
2006/1,Noturno,104,285,Término,Vestibular,Masculino
2006/1,Noturno,104,286,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2006/1,Noturno,104,287,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2006/1,Noturno,104,288,Término,Vestibular,Masculino
2006/1,Noturno,104,289,Término,Vestibular,Masculino
2006/1,Noturno,104,290,Término,Vestibular,Feminino
2006/1,Noturno,104,291,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2006/1,Noturno,104,292,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2006/1,Noturno,104,293,Término,Vestibular 2 Lista,Feminino
2006/1,Noturno,104,294,Término,Vestibular,Feminino
2006/1,Noturno,104,295,Cancelamento menos 20% dos créditos,Vestibular,Feminino
2006/1,Noturno,104,296,Cancelamento 0 crédito,Vestibular,Masculino
2006/1,Noturno,104,297,Término,Vestibular,Feminino
2006/1,Noturno,104,298,Término,Vestibular,Masculino
2006/1,Noturno,104,299,Término,Vestibular,Masculino
2006/1,Noturno,104,300,Término,Vestibular 2 Lista,Masculino
2006/1,Noturno,104,301,Desistência a pedido,Vestibular,Masculino
2006/1,Noturno,104,302,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2006/1,Noturno,104,303,Término,Vestibular,Masculino
2006/1,Noturno,104,304,Transferência USP,Vestibular,Feminino
2006/1,Noturno,104,305,Término,Vestibular,Masculino
2006/1,Noturno,104,306,Término,Vestibular,Masculino
2006/1,Noturno,104,307,Término,Vestibular,Feminino
2006/1,Noturno,104,308,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2006/1,Noturno,104,309,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2006/1,Noturno,104,310,Cancelamento 0 crédito,Vestibular 2 Lista,Masculino
2006/1,Noturno,104,311,Término,Vestibular,Masculino
2006/1,Noturno,104,312,Término,Vestibular 2 Lista,Feminino
2006/1,Noturno,104,313,Término,Vestibular,Masculino
2006/1,Noturno,104,314,Término,Vestibular,Masculino
2006/1,Noturno,104,315,Término,Vestibular,Masculino
2006/1,Noturno,104,316,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2006/1,Noturno,104,317,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2006/1,Noturno,104,318,Término,Vestibular,Masculino
2006/1,Noturno,104,319,Término,Vestibular,Masculino
2006/1,Noturno,104,320,Término,Vestibular,Masculino
2006/1,Noturno,104,321,Término,Vestibular,Masculino
2006/1,Noturno,104,322,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2006/1,Noturno,104,323,Término,Vestibular,Masculino
2006/1,Noturno,104,324,Término,Vestibular,Masculino
2006/1,Noturno,104,325,Término,Vestibular,Masculino
2006/1,Noturno,104,326,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2006/1,Noturno,104,327,Término,Vestibular,Feminino
2006/1,Noturno,104,328,Término,Transf USP,Masculino
2006/1,Noturno,104,329,Término,Vestibular,Masculino
2006/1,Noturno,104,330,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2006/1,Noturno,104,331,Término,Vestibular,Masculino
2006/1,Noturno,104,332,Término,Vestibular 2 Lista,Masculino
2006/1,Noturno,104,333,Cancelamento ultrapassou prazo máximo,Vestibular,Feminino
2006/1,Noturno,104,334,Cancelamento 0 crédito,Vestibular,Masculino
2006/1,Noturno,104,335,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2006/1,Noturno,104,336,Término,Vestibular,Feminino
2006/1,Noturno,104,337,Término,Vestibular,Feminino
2006/1,Noturno,104,338,Término,Vestibular,Masculino
2006/1,Noturno,104,339,Cancelamento 0 crédito,Vestibular,Masculino
2006/1,Noturno,104,340,Término,Vestibular,Masculino
2006/1,Noturno,104,341,Término,Vestibular,Masculino
2006/1,Noturno,104,342,Ingressante sem Frequência,Vestibular,Masculino
2006/1,Noturno,104,343,Término,Vestibular,Masculino
2006/1,Noturno,104,344,Término,Vestibular 3 Lista,Feminino
2007/1,Diurno,102,345,Cancelamento trancamento 4 semestres,Vestibular,?
2007/1,Diurno,102,346,Término,Vestibular,Masculino
2007/1,Diurno,102,347,Término,Vestibular,Feminino
2007/1,Diurno,102,348,Término,Vestibular,Masculino
2007/1,Diurno,102,349,Término,Vestibular,Masculino
2007/1,Diurno,102,350,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2007/1,Diurno,102,351,Término,Vestibular,Masculino
2007/1,Diurno,102,352,Desistência a pedido,Transf USP,Masculino
2007/1,Diurno,102,353,Término,Vestibular,Feminino
2007/1,Diurno,102,354,Outros,Transf USP,Masculino
2007/1,Diurno,102,355,Término,Vestibular,Feminino
2007/1,Diurno,102,356,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2007/1,Diurno,102,357,Término,Vestibular,Masculino
2007/1,Diurno,102,358,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2007/1,Diurno,102,359,Término,Vestibular,Masculino
2007/1,Diurno,102,360,Término,Vestibular,Feminino
2007/1,Diurno,102,361,Término,Transf USP,Feminino
2007/1,Diurno,102,362,Término,Vestibular,Masculino
2007/1,Diurno,102,363,Ingressante sem Frequência,Vestibular,Masculino
2007/1,Diurno,102,364,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2007/1,Diurno,102,365,Término,Vestibular,Masculino
2007/1,Diurno,102,366,Término,Vestibular,Masculino
2007/1,Diurno,102,367,Término,Vestibular,Masculino
2007/1,Diurno,102,368,Término,Vestibular,Masculino
2007/1,Diurno,102,369,Abandono 3 semestres sem matrícula,Vestibular,Masculino
2007/1,Diurno,102,370,Término,Vestibular,Masculino
2007/1,Diurno,102,371,Término,Vestibular,Masculino
2007/1,Diurno,102,372,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2007/1,Diurno,102,373,Término,Vestibular,Masculino
2007/1,Diurno,102,374,Encerramento novo ingresso,Vestibular,Masculino
2007/1,Diurno,102,375,Término,Vestibular,Masculino
2007/1,Diurno,102,376,Término,Vestibular,Masculino
2007/1,Diurno,102,377,Término,Vestibular 2 Lista,Masculino
2007/1,Diurno,102,378,Término,Vestibular,Masculino
2007/1,Diurno,102,379,Término,Vestibular,Masculino
2007/1,Diurno,102,380,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2007/1,Diurno,102,381,Término,Vestibular,Masculino
2007/1,Diurno,102,382,Término,Vestibular,Masculino
2007/1,Diurno,102,383,Término,Vestibular,Masculino
2007/1,Diurno,102,384,Término,Vestibular,Masculino
2007/1,Diurno,102,385,Desistência a pedido,Vestibular,Masculino
2007/1,Diurno,102,386,Transferência USP,Vestibular,Masculino
2007/1,Diurno,102,387,Término,Vestibular,Masculino
2007/1,Diurno,102,388,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2007/1,Diurno,102,389,Término,Vestibular 2 Lista,Masculino
2007/1,Noturno,104,390,Cancelamento 0 crédito,Vestibular,Masculino
2007/1,Noturno,104,391,Término,Vestibular,Masculino
2007/1,Noturno,104,392,Encerramento novo ingresso,Vestibular,Masculino
2007/1,Noturno,104,393,Término,Vestibular,Feminino
2007/1,Noturno,104,394,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2007/1,Noturno,104,395,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2007/1,Noturno,104,396,Término,Vestibular,Feminino
2007/1,Noturno,104,397,Término,Vestibular,Masculino
2007/1,Noturno,104,398,Término,Vestibular,Feminino
2007/1,Noturno,104,399,Encerramento novo ingresso,Vestibular,Masculino
2007/1,Noturno,104,400,Transferência USP,Vestibular,Masculino
2007/1,Noturno,104,401,Término,Vestibular,Masculino
2007/1,Noturno,104,402,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2007/1,Noturno,104,403,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2007/1,Noturno,104,404,Término,Vestibular,Masculino
2007/1,Noturno,104,405,Término,Vestibular 2 Lista,Masculino
2007/1,Noturno,104,406,Término,Vestibular,Masculino
2007/1,Noturno,104,407,Término,Vestibular 2 Lista,Masculino
2007/1,Noturno,104,408,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2007/1,Noturno,104,409,Término,Vestibular,Masculino
2007/1,Noturno,104,410,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2007/1,Noturno,104,411,Término,Vestibular,Feminino
2007/1,Noturno,104,412,Término,Vestibular,Masculino
2007/1,Noturno,104,413,Cancelamento ultrapassou prazo máximo,Vestibular,Masculino
2007/1,Noturno,104,414,Término,Vestibular,Feminino
2007/1,Noturno,104,415,Término,Vestibular,Masculino
2007/1,Noturno,104,416,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2007/1,Noturno,104,417,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2007/1,Noturno,104,418,Término,Vestibular 3 Lista,Masculino
2007/1,Noturno,104,419,Término,Vestibular,Masculino
2007/1,Noturno,104,420,Término,Vestibular 2 Lista,Feminino
2007/1,Noturno,104,421,Término,Vestibular,Masculino
2007/1,Noturno,104,422,Término,Vestibular,Masculino
